Num,식품코드,,,FoodName,,,,Category,ServingSize,,Kcal,,,,Protein,Fat,Carbo,,,,,,,,,,,,,,,,,,,,,Natrium
48,D00048,,,선짓국,,,,국류,800,,337.354,,,,51.144,9.877,10.971,,,,,,,,,,,,,,,,,,,,,2518.987
49,D00049,,,소고기무국,,,,국류,400,,123,,,,14.2,4,7.8,,,,,,,,,,,,,,,,,,,,,1067.02
50,D00050,,,소고기미역국,,,,국류,650,,151,,,,18.1,5.3,7.7,,,,,,,,,,,,,,,,,,,,,1908.91
51,D00051,,,소머리국밥,,,,국류,1100,,903.95,,,,83.2,30.2,74.9,,,,,,,,,,,,,,,,,,,,,675.35
52,D00052,,,순대국,,,,국류,800,,540.298,,,,43.523,33.018,17.261,,,,,,,,,,,,,,,,,,,,,1504.043
53,D00053,,,시금치된장국,,,,국류,400,,123,,,,10,4.4,10.7,,,,,,,,,,,,,,,,,,,,,1376.78
54,D00054,,,시래기된장국,,,,국류,450,,99,,,,6.7,3.1,11,,,,,,,,,,,,,,,,,,,,,1523.66
55,D00055,,,쑥된장국,,,,국류,450,,124,,,,8.6,4.6,12.1,,,,,,,,,,,,,,,,,,,,,1535.07
56,D00056,,,아욱된장국,,,,국류,450,,106,,,,9,2.9,10.7,,,,,,,,,,,,,,,,,,,,,1464.08
57,D00057,,,어묵국,,,,국류,600,,250.86,,,,18.339,4.503,34.244,,,,,,,,,,,,,,,,,,,,,2064.706
58,D00058,,,오이냉국,,,,국류,450,,83,,,,2.2,1.2,15.7,,,,,,,,,,,,,,,,,,,,,1298.51
59,D00059,,,오징어국,,,,국류,500,,167,,,,24.2,2.6,11.9,,,,,,,,,,,,,,,,,,,,,1559.9
60,D00060,,,올갱이국,,,,국류,600,,144.26,,,,13.7,4.2,13,,,,,,,,,,,,,,,,,,,,,2017.16
61,D00061,,,우거지된장국,,,,국류,450,,91,,,,6.6,2.6,10.4,,,,,,,,,,,,,,,,,,,,,1607.2
62,D00062,,,우거지해장국,,,,국류,600,,154.38,,,,11.9,5.9,13.5,,,,,,,,,,,,,,,,,,,,,2049.59
63,D00063,,,우렁된장국,,,,국류,500,,245,,,,24.6,7.7,19.2,,,,,,,,,,,,,,,,,,,,,2134.21
64,D00064,,,탕국,,,,국류,250,,92.152,,,,13.181,4.272,0.244,,,,,,,,,,,,,,,,,,,,,656.75
65,D00065,,,토란국,,,,국류,250,,463.203,,,,8.434,6.823,92.016,,,,,,,,,,,,,,,,,,,,,702.506
66,D00066,,,홍합미역국,,,,국류,650,,167,,,,19.7,4.7,11.6,,,,,,,,,,,,,,,,,,,,,2043.68
67,D00067,,,황태해장국,,,,국류,600,,181.7,,,,24.5,6.8,5.7,,,,,,,,,,,,,,,,,,,,,1533.09
68,D00068,,,고추잡채,,,,기타,200,,256.769,,,,10.994,12.013,26.171,,,,,,,,,,,,,,,,,,,,,828.545
69,D00069,,,깐풍기,,,,기타,200,,588.721,,,,26.14,37.004,37.78,,,,,,,,,,,,,,,,,,,,,657.125
70,D00070,,,난자완스,,,,기타,200,,346.249,,,,21.627,20.35,19.149,,,,,,,,,,,,,,,,,,,,,703.234
71,D00071,,,도토리묵말이,,,,기타,1300,,462.39,,,,6.8,8.5,89.7,,,,,,,,,,,,,,,,,,,,,3206.03
72,D00072,,,라조기,,,,기타,200,,398.993,,,,20.659,23.491,26.234,,,,,,,,,,,,,,,,,,,,,648.516
73,D00073,,,마파두부,,,,기타,200,,227.93,,,,15.255,13.774,10.735,,,,,,,,,,,,,,,,,,,,,691.4
74,D00074,,,물회,,,,기타,700,,529.36,,,,34.4,18.9,55.3,,,,,,,,,,,,,,,,,,,,,2095.9
75,D00075,,,생선물회,,,,기타,800,,577.97,,,,34.3,12.3,82.5,,,,,,,,,,,,,,,,,,,,,2779.74
76,D00076,,,소고기샤브샤브,,,,기타,600,,263.75,,,,29.1,9.8,14.7,,,,,,,,,,,,,,,,,,,,,1122.4
77,D00077,,,양장피,,,,기타,250,,229.75,,,,16.405,9.597,19.439,,,,,,,,,,,,,,,,,,,,,853.364
78,D00078,,,오징어물회,,,,기타,700,,581.4,,,,32.9,9.5,91.2,,,,,,,,,,,,,,,,,,,,,2715.91
79,D00079,,,오징어순대,,,,기타,350,,466.86,,,,45.7,5.6,58.3,,,,,,,,,,,,,,,,,,,,,1258.71
80,D00080,,,육회,,,,기타,150,,229.915,,,,22.379,9.333,14.1,,,,,,,,,,,,,,,,,,,,,447.812
81,D00081,,,초당순두부,,,,기타,900,,522.69,,,,49.1,29.2,15.8,,,,,,,,,,,,,,,,,,,,,1203.36
